medal_type,code,country
Gold Medal,1970827,Uganda
Silver Medal,1536998,Ethiopia
Bronze Medal,1960959,United States
Gold Medal,1895661,France
Silver Medal,1895640,France
Bronze Medal,1895700,France
Gold Medal,1940127,Australia
Silver Medal,1969181,Netherlands
Bronze Medal,1976480,Switzerland
Gold Medal,1891323,France
Silver Medal,1928072,Korea
Bronze Medal,1567512,Tajikistan
Bronze Medal,1566931,Uzbekistan
Gold Medal,1953777,Brazil
Silver Medal,1892796,Israel
Bronze Medal,1928070,Korea
Bronze Medal,1891300,France
Gold Medal,1977709,Switzerland
Silver Medal,1944373,United States
Bronze Medal,1913972,China
Gold Medal,1909294,France
Silver Medal,1903621,Great Britain
Bronze Medal,1945186,China
Gold Medal,1946161,Australia
Silver Medal,1903616,Great Britain
Bronze Medal,1909292,France
Gold Medal,1946198,Australia
Silver Medal,1935984,United States
Bronze Medal,1967104,Canada
Bronze Medal,1931815,Poland
Gold Medal,1937347,AIN
Silver Medal,1918790,China
Bronze Medal,1918789,China
Gold Medal,1904745,Great Britain
Silver Medal,1938437,AIN
Bronze Medal,1973102,Canada
Gold Medal,1902147,Korea
Silver Medal,1902148,Korea
Bronze Medal,1541265,France
Gold Medal,1975874,Philippines
Silver Medal,1908195,Israel
Bronze Medal,1904741,Great Britain
Gold Medal,1539986,Ireland
Silver Medal,1931577,Kazakhstan
Bronze Medal,1959865,United States
Gold Medal,1959861,United States
Silver Medal,1953634,Brazil
Bronze Medal,1959819,United States
Gold Medal,1878353,Norway
Silver Medal,1920180,Germany
Bronze Medal,1573388,Grenada
Gold Medal,1960688,United States
Silver Medal,1965246,United States
Bronze Medal,1564189,Jamaica
Gold Medal,1537325,Saint Lucia
Silver Medal,1960181,United States
Bronze Medal,1961011,United States
Gold Medal,1908333,Dominica
Silver Medal,1536885,Jamaica
Bronze Medal,1965250,United States
Bronze Medal,1887970,Chinese Taipei
Bronze Medal,1952540,Brazil
Gold Medal,1903136,Belgium
Silver Medal,1895699,France
Bronze Medal,1895694,France
Gold Medal,1906515,Germany
Silver Medal,1538160,AIN
Bronze Medal,1965599,Netherlands
Gold Medal,1965558,Netherlands
Silver Medal,1927027,New Zealand
Bronze Medal,1941956,Lithuania
Gold Medal,1927680,Israel
Silver Medal,1945982,Australia
Bronze Medal,1970505,Netherlands
Gold Medal,1899653,Italy
Silver Medal,1927733,Israel
Bronze Medal,1899748,Great Britain
Gold Medal,1893995,Korea
Silver Medal,1888429,France
Bronze Medal,1899493,Hungary
Gold Medal,1944354,United States
Silver Medal,1944385,United States
Bronze Medal,1569852,Chinese Taipei
Gold Medal,1905860,Hungary
Silver Medal,1967069,Canada
Bronze Medal,1967058,Canada
Gold Medal,1967140,Canada
Silver Medal,1935895,United States
Bronze Medal,1946198,Australia
Gold Medal,1935938,United States
Silver Medal,1946150,Australia
Bronze Medal,1935943,United States
Gold Medal,1902307,China
Silver Medal,1902313,China
Bronze Medal,1931100,Japan
Bronze Medal,1562400,Italy
Gold Medal,1927709,China
Silver Medal,1554972,Croatia
Gold Medal,1902135,Korea
Silver Medal,1955595,United States
Bronze Medal,1902144,Korea
Gold Medal,1918856,China
Silver Medal,1918865,China
Bronze Medal,1961314,Greece
Gold Medal,1975874,Philippines
Silver Medal,1915828,Armenia
Bronze Medal,1904740,Great Britain
Gold Medal,1545688,Algeria
Silver Medal,1918872,China
Bronze Medal,1959866,United States
Gold Medal,1960173,United States
Silver Medal,1980161,Jamaica
Bronze Medal,1960958,United States
Gold Medal,1974151,Canada
Silver Medal,1916814,Hungary
Bronze Medal,1571563,Ukraine
Gold Medal,1571559,Ukraine
Silver Medal,1939838,Australia
Bronze Medal,1571577,Ukraine
Bronze Medal,1939763,Australia
Bronze Medal,1926315,Indonesia
Bronze Medal,1908817,Dominican Republic
Bronze Medal,1892464,Cabo Verde
Bronze Medal,1972293,Canada
Bronze Medal,1550184,Georgia
Bronze Medal,1943368,Dominican Republic
Bronze Medal,1555548,Cuba
Bronze Medal,1934790,Spain
Bronze Medal,1909011,Tajikistan
Bronze Medal,1980125,DPR Korea
Bronze Medal,1891890,Korea
Gold Medal,1955081,United States
Silver Medal,1969165,Netherlands
Bronze Medal,1903120,Belgium
Gold Medal,1914905,Germany
Silver Medal,1914909,Germany
Bronze Medal,1970905,Great Britain
Gold Medal,1951724,United States
Silver Medal,1923629,Great Britain
Bronze Medal,1961406,Japan
Gold Medal,1937878,Chile
Silver Medal,1977402,Great Britain
Bronze Medal,1944397,United States
Gold Medal,1935902,United States
Silver Medal,1925630,Italy
Bronze Medal,1539969,Ireland
Gold Medal,1572557,Sweden
Silver Medal,1946212,Australia
Bronze Medal,1945125,China
Gold Medal,1902295,China
